ID,totalpobl,dens pob,hogares,Desocupado,0 - 14,65 y mayor,Inicial (j,Primario,EGB,Secundario,Polimodal,Superior n,Universita,Post unive,lee_y _esc,NoLee_ni_e,Hacinamien,sin red ag,Sin cloaca,macroz_2,Clasifica,Seccion,X_WGS,Y_WGS,Calidad_Residuo
1901,5,0.019,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,4,2,,-68.86613,-32.90145,
534,528,46.598,188,11,87,102,16,40,24,82,18,47,250,23,487,16,0,0,0,15,6,2,-68.84869,-32.90338,
535,528,46.598,188,11,87,102,16,40,24,82,18,47,250,23,487,16,0,0,0,15,6,2,-68.84851,-32.9034,
921,264,53.944,82,2,39,46,11,19,6,66,14,22,108,8,243,13,0,0,0,4,2,9,-68.86374,-32.89928,
922,264,53.944,82,2,39,46,11,19,6,66,14,22,108,8,243,13,0,0,0,4,2,5,-68.86347,-32.89802,
923,264,53.944,82,2,39,46,11,19,6,66,14,22,108,8,243,13,0,0,0,4,2,5,-68.86361,-32.89868,
2260,401,47.647,147,2,54,84,10,44,13,81,11,21,194,18,383,13,0,0,0,15,6,2,-68.84727,-32.90352,
2281,528,46.598,188,11,87,102,16,40,24,82,18,47,250,23,487,16,0,0,0,15,6,2,-68.84797,-32.90345,
2282,528,46.598,188,11,87,102,16,40,24,82,18,47,250,23,487,16,0,0,0,15,6,2,-68.84731,-32.90352,
2285,528,46.598,188,11,87,102,16,40,24,82,18,47,250,23,487,16,0,0,0,15,6,2,-68.8503,-32.90322,
325,349,54.84,152,9,51,61,12,31,5,77,5,38,146,18,321,12,0,0,0,1,1,1,-68.84348,-32.88535,
328,704,49.598,212,25,91,142,10,131,11,218,10,58,205,27,660,24,0,0,0,1,1,1,-68.84026,-32.88362,
331,391,93.9,160,4,33,79,5,42,4,85,9,51,168,16,376,7,0,0,0,1,1,1,-68.84327,-32.88539,
332,322,58.545,109,12,32,70,7,47,7,82,9,39,117,7,304,12,0,0,0,1,1,1,-68.84535,-32.88267,
333,322,58.545,109,12,32,70,7,47,7,82,9,39,117,7,304,12,0,0,0,1,1,1,-68.84409,-32.88291,
334,322,58.545,109,12,32,70,7,47,7,82,9,39,117,7,304,12,0,0,0,1,1,1,-68.84288,-32.88313,
335,668,53.147,239,17,82,113,9,76,22,210,17,80,210,10,627,17,0,0,0,1,1,1,-68.84269,-32.88318,
336,668,53.147,239,17,82,113,9,76,22,210,17,80,210,10,627,17,0,0,0,1,1,1,-68.8415,-32.88339,
337,668,53.147,239,17,82,113,9,76,22,210,17,80,210,10,627,17,0,0,0,1,1,1,-68.84299,-32.88427,
338,668,53.147,239,17,82,113,9,76,22,210,17,80,210,10,627,17,0,0,0,1,1,1,-68.8418,-32.88449,
344,704,49.598,212,25,91,142,10,131,11,218,10,58,205,27,660,24,0,0,0,1,1,1,-68.83901,-32.88386,
409,427,40.219,162,9,35,68,8,33,8,85,4,49,207,16,408,6,0,0,0,1,1,1,-68.84405,-32.88749,
410,391,93.9,160,4,33,79,5,42,4,85,9,51,168,16,376,7,0,0,0,1,1,1,-68.84386,-32.88752,
411,391,93.9,160,4,33,79,5,42,4,85,9,51,168,16,376,7,0,0,0,1,1,1,-68.84384,-32.88752,
415,230,75.509,121,9,15,66,5,16,2,55,1,15,119,12,220,7,0,0,0,1,1,2,-68.84167,-32.88907,
416,230,75.509,121,9,15,66,5,16,2,55,1,15,119,12,220,7,0,0,0,1,1,2,-68.84046,-32.8893,
417,339,113.075,181,14,29,81,3,25,1,72,4,36,169,12,320,4,0,0,0,1,1,2,-68.84195,-32.89014,
418,349,54.84,152,9,51,61,12,31,5,77,5,38,146,18,321,12,0,0,0,1,1,1,-68.8438,-32.88642,
419,349,54.84,152,9,51,61,12,31,5,77,5,38,146,18,321,12,0,0,0,1,1,1,-68.84376,-32.88643,
423,391,93.9,160,4,33,79,5,42,4,85,9,51,168,16,376,7,0,0,0,1,1,1,-68.84356,-32.88647,
424,218,47.464,96,10,20,41,6,17,10,64,9,27,77,4,209,6,0,0,0,1,1,1,-68.83883,-32.88848,
425,218,47.464,96,10,20,41,6,17,10,64,9,27,77,4,209,6,0,0,0,1,1,3,-68.83826,-32.88631,
426,218,47.464,96,10,20,41,6,17,10,64,9,27,77,4,209,6,0,0,0,1,1,3,-68.83855,-32.88739,
432,282,71.284,124,9,25,54,4,30,3,71,1,34,123,5,270,5,0,0,0,1,1,2,-68.83911,-32.88953,
433,282,71.284,124,9,25,54,4,30,3,71,1,34,123,5,270,5,0,0,0,1,1,3,-68.83699,-32.8897,
435,279,189.153,167,2,17,86,0,36,3,58,3,17,140,12,269,4,0,0,0,1,1,2,-68.84224,-32.89125,
440,339,113.075,181,14,29,81,3,25,1,72,4,36,169,12,320,4,0,0,0,1,1,2,-68.84073,-32.89038,
1008,310,52.676,149,12,16,83,3,43,4,63,10,35,123,20,291,14,0,0,0,1,1,2,-68.83996,-32.89278,
1009,310,52.676,149,12,16,83,3,43,4,63,10,35,123,20,291,14,0,0,0,1,1,2,-68.84023,-32.89387,
1010,310,52.676,149,12,16,83,3,43,4,63,10,35,123,20,291,14,0,0,0,1,1,2,-68.84032,-32.89419,
1011,310,52.676,149,12,16,83,3,43,4,63,10,35,123,20,291,14,0,0,0,1,1,2,-68.83968,-32.89172,
1012,310,52.676,149,12,16,83,3,43,4,63,10,35,123,20,291,14,0,0,0,1,1,2,-68.8394,-32.89063,
1015,268,168.342,124,11,34,47,4,22,11,48,19,37,109,4,252,4,0,0,0,1,1,2,-68.84101,-32.89148,
1034,426,69.985,195,11,50,90,7,32,11,82,12,55,188,17,400,9,0,0,0,1,1,2,-68.84185,-32.89473,
1035,426,69.985,195,11,50,90,7,32,11,82,12,55,188,17,400,9,0,0,0,1,1,2,-68.84265,-32.89458,
1036,426,69.985,195,11,50,90,7,32,11,82,12,55,188,17,400,9,0,0,0,1,1,2,-68.84308,-32.8945,
1038,426,69.985,195,11,50,90,7,32,11,82,12,55,188,17,400,9,0,0,0,1,1,2,-68.84156,-32.89362,
1039,426,69.985,195,11,50,90,7,32,11,82,12,55,188,17,400,9,0,0,0,1,1,2,-68.84278,-32.89338,
1130,261,158.759,146,4,18,62,4,20,7,41,4,29,145,7,256,2,0,0,0,1,1,2,-68.84519,-32.89182,
1131,261,158.759,146,4,18,62,4,20,7,41,4,29,145,7,256,2,0,0,0,1,1,2,-68.8464,-32.89159,
1139,224,150.74,90,3,32,28,5,29,3,32,8,18,94,22,208,6,0,0,0,1,1,2,-68.84945,-32.89328,
1140,224,150.74,90,3,32,28,5,29,3,32,8,18,94,22,208,6,0,0,0,1,1,2,-68.84824,-32.89352,
1142,401,132.606,192,14,34,87,8,58,6,87,3,33,179,11,379,15,0,0,0,1,1,2,-68.84624,-32.89619,
1146,349,104.148,159,3,37,40,4,26,2,54,18,30,177,13,322,2,0,0,0,1,1,2,-68.84565,-32.89401,
1147,349,104.148,159,3,37,40,4,26,2,54,18,30,177,13,322,2,0,0,0,1,1,2,-68.84559,-32.89402,
1148,349,104.148,159,3,37,40,4,26,2,54,18,30,177,13,322,2,0,0,0,1,1,2,-68.84668,-32.89265,
1149,349,104.148,159,3,37,40,4,26,2,54,18,30,177,13,322,2,0,0,0,1,1,2,-68.84696,-32.89376,
1150,349,104.148,159,3,37,40,4,26,2,54,18,30,177,13,322,2,0,0,0,1,1,2,-68.84545,-32.89287,
1151,349,104.148,159,3,37,40,4,26,2,54,18,30,177,13,322,2,0,0,0,1,1,2,-68.84572,-32.894,
1159,259,90.782,115,8,17,57,1,22,3,53,4,35,124,8,250,1,0,0,0,1,1,2,-68.84405,-32.89314,
1160,259,90.782,115,8,17,57,1,22,3,53,4,35,124,8,250,1,0,0,0,1,1,2,-68.84526,-32.89292,
1339,349,54.84,152,9,51,61,12,31,5,77,5,38,146,18,321,12,0,0,0,1,1,1,-68.84594,-32.88489,
1340,349,54.84,152,9,51,61,12,31,5,77,5,38,146,18,321,12,0,0,0,1,1,1,-68.84621,-32.88598,
1341,349,54.84,152,9,51,61,12,31,5,77,5,38,146,18,321,12,0,0,0,1,1,1,-68.84497,-32.88621,
1342,349,54.84,152,9,51,61,12,31,5,77,5,38,146,18,321,12,0,0,0,1,1,1,-68.84468,-32.88513,
1353,704,49.598,212,25,91,142,10,131,11,218,10,58,205,27,660,24,0,0,0,1,1,1,-68.83929,-32.88496,
1354,704,49.598,212,25,91,142,10,131,11,218,10,58,205,27,660,24,0,0,0,1,1,1,-68.84055,-32.88472,
1414,427,40.219,162,9,35,68,8,33,8,85,4,49,207,16,408,6,0,0,0,1,1,1,-68.84719,-32.88466,
1415,427,40.219,162,9,35,68,8,33,8,85,4,49,207,16,408,6,0,0,0,1,1,1,-68.84525,-32.88726,
1416,427,40.219,162,9,35,68,8,33,8,85,4,49,207,16,408,6,0,0,0,1,1,1,-68.84777,-32.8868,
1417,427,40.219,162,9,35,68,8,33,8,85,4,49,207,16,408,6,0,0,0,1,1,1,-68.84652,-32.88703,
1418,427,40.219,162,9,35,68,8,33,8,85,4,49,207,16,408,6,0,0,0,1,1,1,-68.84649,-32.88704,
1419,427,40.219,162,9,35,68,8,33,8,85,4,49,207,16,408,6,0,0,0,1,1,1,-68.84747,-32.88574,
1420,427,40.219,162,9,35,68,8,33,8,85,4,49,207,16,408,6,0,0,0,1,1,1,-68.84774,-32.88681,
1450,322,58.545,109,12,32,70,7,47,7,82,9,39,117,7,304,12,0,0,0,1,1,1,-68.84661,-32.88244,
253,519,39.914,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,2,1,1,-68.84299,-32.87625,
254,519,39.914,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,2,1,1,-68.84317,-32.8775,
255,519,39.914,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,2,1,1,-68.84267,-32.87755,
256,519,39.914,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,2,1,1,-68.84239,-32.87757,
257,519,39.914,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,2,1,1,-68.84212,-32.87758,
258,519,39.914,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,2,1,1,-68.84187,-32.87761,
259,519,39.914,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,2,1,1,-68.84142,-32.87766,
268,411,166.464,163,20,68,40,15,29,29,77,24,45,165,10,380,18,0,0,0,2,1,1,-68.84511,-32.87681,
269,411,166.464,163,20,68,40,15,29,29,77,24,45,165,10,380,18,0,0,0,2,1,1,-68.84508,-32.87683,
270,411,166.464,163,20,68,40,15,29,29,77,24,45,165,10,380,18,0,0,0,2,1,1,-68.84401,-32.87739,
329,634,37.404,202,18,87,97,16,102,26,184,22,54,194,9,593,24,0,0,0,2,1,1,-68.84376,-32.88163,
330,634,37.404,202,18,87,97,16,102,26,184,22,54,194,9,593,24,0,0,0,2,1,1,-68.84253,-32.88174,
339,668,53.147,239,17,82,113,9,76,22,210,17,80,210,10,627,17,0,0,0,2,1,1,-68.84233,-32.88176,
340,668,53.147,239,17,82,113,9,76,22,210,17,80,210,10,627,17,0,0,0,2,1,1,-68.84112,-32.88188,
345,704,49.598,212,25,91,142,10,131,11,218,10,58,205,27,660,24,0,0,0,2,1,1,-68.83957,-32.88093,
346,704,49.598,212,25,91,142,10,131,11,218,10,58,205,27,660,24,0,0,0,2,1,1,-68.83897,-32.88099,
347,704,49.598,212,25,91,142,10,131,11,218,10,58,205,27,660,24,0,0,0,2,1,1,-68.83828,-32.88105,
348,704,49.598,212,25,91,142,10,131,11,218,10,58,205,27,660,24,0,0,0,2,1,1,-68.83984,-32.88199,
349,704,49.598,212,25,91,142,10,131,11,218,10,58,205,27,660,24,0,0,0,2,1,1,-68.83926,-32.88204,
350,704,49.598,212,25,91,142,10,131,11,218,10,58,205,27,660,24,0,0,0,2,1,1,-68.83856,-32.88212,
452,700,33.844,282,17,80,121,19,52,19,97,21,56,382,26,658,21,0,0,0,2,1,5,-68.85175,-32.89586,
453,700,33.844,282,17,80,121,19,52,19,97,21,56,382,26,658,21,0,0,0,2,1,5,-68.85192,-32.89603,
454,700,33.844,282,17,80,121,19,52,19,97,21,56,382,26,658,21,0,0,0,2,1,5,-68.85183,-32.89622,
455,700,33.844,282,17,80,121,19,52,19,97,21,56,382,26,658,21,0,0,0,2,1,5,-68.85274,-32.89945,
464,656,53.1,263,20,86,111,15,66,19,112,26,74,305,16,620,19,0,0,0,2,1,5,-68.8527,-32.89945,
491,277,29.61,108,5,33,58,7,27,13,67,12,18,116,12,267,6,0,0,0,2,1,2,-68.83702,-32.89769,
492,277,29.61,108,5,33,58,7,27,13,67,12,18,116,12,267,6,0,0,0,2,1,2,-68.83728,-32.8987,
493,277,29.61,108,5,33,58,7,27,13,67,12,18,116,12,267,6,0,0,0,2,1,2,-68.83639,-32.89887,
494,277,29.61,108,5,33,58,7,27,13,67,12,18,116,12,267,6,0,0,0,2,1,2,-68.8375,-32.8996,
575,656,53.1,263,20,86,111,15,66,19,112,26,74,305,16,620,19,0,0,0,2,1,5,-68.85307,-32.90074,
576,656,53.1,263,20,86,111,15,66,19,112,26,74,305,16,620,19,0,0,0,2,1,5,-68.85321,-32.90191,
577,656,53.1,263,20,86,111,15,66,19,112,26,74,305,16,620,19,0,0,0,2,1,5,-68.85326,-32.9023,
1027,266,29.071,126,12,31,42,9,29,3,66,5,38,98,5,247,9,0,0,0,2,1,3,-68.83142,-32.8888,
1028,266,29.071,126,12,31,42,9,29,3,66,5,38,98,5,247,9,0,0,0,2,1,3,-68.83022,-32.88885,
1029,266,29.071,126,12,31,42,9,29,3,66,5,38,98,5,247,9,0,0,0,2,1,3,-68.83275,-32.88873,
1031,266,29.071,126,12,31,42,9,29,3,66,5,38,98,5,247,9,0,0,0,2,1,3,-68.83139,-32.88768,
1032,266,29.071,126,12,31,42,9,29,3,66,5,38,98,5,247,9,0,0,0,2,1,3,-68.8327,-32.88762,
