Rulero,Escuela,Distancia,x_wgs,y_wgs
2,DOMINGO F SARMIENTO,2637.45159,-68.86139,-32.86562
2,I.AMPUERO MATTA,2493.349636,-68.86139,-32.86562
2,ISLAS MALVINAS (TUR. Y HOTELERIA),1632.643134,-68.86139,-32.86562
2,DR.CARLOS N.VERGARA,1354.142795,-68.86139,-32.86562
2,SAN ANDRES,1841.864624,-68.86139,-32.86562
2,SAN ANDRES,1835.808915,-68.86139,-32.86562
2,I.T.U. MENDOZA,2191.080614,-68.87858,-32.87903
2,LICEO MILITAR GENERAL ESPEJO,1009.71636,-68.86139,-32.86562
2,"""ALGARROBO TELTECA""",1295.358964,-68.86139,-32.86562
2,CARMEN PONCE DE VIDELA,2268.999811,-68.87305,-32.88356
2,JARDIN MATERNAL LOS DUENDES DEL LAGO,732.8385122,-68.86445,-32.8717
2,CENTRO COMUNITARIO ED. SAN JOSE,1251.420383,-68.87016,-32.87414
2,REPUBLICA DE CHILE,566.8392595,-68.86139,-32.86562
2,MARIA CURIE,610.2747772,-68.86139,-32.86562
2,Profesor Fabián Roberto Testa,1182.139634,-68.8697,-32.87364
2,DR. DIEGO PAROISSIEN,1343.848462,-68.87559,-32.86744
2,GRAL.CARLOS E. O'DONNELL,1238.121081,-68.86978,-32.87425
2,MIMITOS,1187.229725,-68.86977,-32.87365
2,DUENDELIN,79.88093366,-68.86225,-32.86559
2,VICTOR VOLPE,359.8204251,-68.86522,-32.86533
2,SAN JOSE H.MARISTAS,1956.040634,-68.88227,-32.86643
2,SAN JOSE H. MARISTAS,1971.47466,-68.88244,-32.86637
2,P.JOSE M.LLORENS,700.972244,-68.86715,-32.86966
2,SAMUEL OSTROPOLSKY,3050.079536,-68.86139,-32.86562
2,JULIO CESAR RAFFO DE LA RETA,125.0428147,-68.86273,-32.86561
2,GRAL.PATROCINIO RECABARREN,740.0532989,-68.86706,-32.87027
2,JARDIN MAT. CUSTODIA ZULUZAGA,657.1570451,-68.86834,-32.86648
2,PIO XII,1512.996106,-68.86139,-32.86562
2,CNEL.DE MARINA TOMAS ESPORA,568.2261905,-68.86621,-32.86874
2,MUNICENTRO COOP. LIBERTADOR,654.4920413,-68.86654,-32.86961
2,VICTOR MERCANTE,1178.796803,-68.86139,-32.86562
2,DR.RICARDO GUTIERREZ,3760.759998,-68.86139,-32.86562
2,LEONOR LEMOS,1241.526183,-68.86139,-32.86562
2,EDMUNDO DE AMICIS,1240.149654,-68.86139,-32.86562
2,COMPA¥IA DE MARIA,2603.466557,-68.86139,-32.86562
2,GRAL.MANUEL BELGRANO,1885.470725,-68.86139,-32.86562
2,LEàN GIECO,1231.855268,-68.86139,-32.86562
2,COMPA¥IA DE MARIA,2604.599628,-68.86139,-32.86562
2,INSTITUTO SUPERIOR DE ENSE¥ANZA TECNICA,2176.40116,-68.86139,-32.86562
2,N.S.DEL R.DE POMPEYA,2352.942448,-68.86139,-32.86562
2,ESCUELA N�?? 3-458 (CENS),2336.338279,-68.86139,-32.86562
2,HIPOLITO YRIGOYEN,2334.190527,-68.86139,-32.86562
3,BEATRIZ FALCITELLI,449.7243938,-68.84179,-32.86589
3,ENRIQUETA D DE VIDELA,1690.590149,-68.84179,-32.86589
3,NTRA.SRA.DEL ROSARIO DE POMPEYA,540.0326593,-68.84179,-32.86589
3,NUESTRA SE¥ORA DEL  ROSARIO DE POMPEYA,549.0126007,-68.84179,-32.86589
3,A.P.A.N.D.O.,1011.460675,-68.84179,-32.86589
3,PEDRO DEL CASTILLO,1807.789746,-68.84179,-32.86589
3,FRAY MAMERTO ESQUIU,1035.017724,-68.84179,-32.86589
3,DR. GREGORIO ARAOZ ALFARO,1344.540217,-68.84179,-32.86589
3,DON BOSCO,2094.649058,-68.84179,-32.86589
3,DON BOSCO,2096.818434,-68.84179,-32.86589
3,RICARDO ROJAS,1637.108972,-68.84179,-32.86589
3,TIBURCIO BENEGAS,2270.990142,-68.84179,-32.86589
3,ESCUELA N�?? 3-403 (CENS),1945.051951,-68.84179,-32.86589
3,MARIANO MORENO,1925.232961,-68.84179,-32.86589
3,SAN PEDRO NOLASCO,2100.621789,-68.84179,-32.86589
3,S.PEDRO NOLASCO,2123.64771,-68.84179,-32.86589
3,JOSE FEDERICO MORENO,1486.67418,-68.84179,-32.86589
3,ESCUELA REGIONAL DE CINE Y VIDEO,1580.538664,-68.84179,-32.86589
3,STO.TOMAS DE AQUINO,1559.371054,-68.84179,-32.86589
3,STO. TOMAS DE AQUINO,1553.787973,-68.84179,-32.86589
3,FUNDACION RICART (NORBRIDGE),1748.592804,-68.84335,-32.8816
3,DR.BERNARDO A HOUSSAY,1510.937537,-68.84179,-32.86589
3,PABLO BESSON,1596.600297,-68.84179,-32.86589
3,PABLO BESSON,1709.381991,-68.84179,-32.86589
3,SAN NICOLµS DEL CARRASCAL,2442.772704,-68.84343,-32.88787
3,MERCEDITAS DE SAN MARTIN,2439.540145,-68.84362,-32.88783
3,ESCUELA N�?? 3-408 CENS BELGRANO EDUCADOR,1461.651312,-68.85253,-32.87545
3,ROBERTO ARLT,1792.486806,-68.84434,-32.8819
3,COMBATE DE SAN LORENZO,2262.041496,-68.84179,-32.86589
3,RAQUEL MENENDEZ DE PAVON,2650.421057,-68.84179,-32.86589
3,NUESTRA ESCUELA,2437.909992,-68.84179,-32.86589
3,DOMINGO BOMBAL,2719.104544,-68.84179,-32.86589
3,INSTITUTO SUPERIOR DE CS. RELIGIOSAS SAN,2711.989092,-68.84179,-32.86589
3,CECILIA GRIERSON,2827.876377,-68.84179,-32.86589
3,SAGRADO CORAZON,2652.274398,-68.84179,-32.86589
3,SAGRADO CORAZON,2654.375695,-68.84179,-32.86589
3,INSTITUTO SUPERIOR NUEVO CUYO,2836.274869,-68.84179,-32.86589
3,S.T.R.O.B.E.R.I.,3177.725392,-68.84179,-32.86589
3,Dr.Daniel Fernando Gonzalez,2634.058077,-68.84179,-32.86589
3,PEDRO NOLASCO FERREYRA,2869.567584,-68.84179,-32.86589
3,SAN LUIS GONZAGA,3130.784744,-68.84179,-32.86589
3,POLICÍAS H�??ROES DE MENDOZA,2826.668178,-68.84605,-32.89112
3,PRESIDENTE QUINTANA,3026.827855,-68.85031,-32.89222
3,SAN LUIS GONZAGA,3187.512423,-68.84179,-32.86589
3,NORMAL TOMAS GODOY CRUZ,2811.358909,-68.84428,-32.89115
3,NORMAL SUP. TOMAS GODOY CRUZ,2810.58169,-68.84433,-32.89114
3,INSTITUTO DE EDUC. SUPERIOR MAGISTER,3055.636015,-68.84567,-32.89324
3,JAR.EXC.TOMAS GODOY CRUZ,2836.156746,-68.84388,-32.8914
3,CHIARA LUBICH,739.0608585,-68.84249,-32.87252
3,ALFREDO R.BUFANO,2715.417745,-68.84624,-32.89008
3,TOMAS G.CRUZ,2823.735627,-68.84477,-32.89122
3,INSTITUTO BLOSSOM,2925.677541,-68.84689,-32.89191
3,XXI DE ABRIL,2533.142307,-68.84744,-32.88822
3,MARIA AUXILIADORA,2218.422073,-68.84638,-32.88551
3,AGUSTIN ALVAREZ,2735.341867,-68.84648,-32.89023
3,LUMEN DE SAN JOSE DE CALASANZ,1007.350562,-68.84179,-32.86589
3,I.C.E.I.,2014.464498,-68.84499,-32.88385
3,Nieves del Aconcagua,3551.117868,-68.85967,-32.89413
3,MARIA AUXILIADORA,2174.945273,-68.8466,-32.88507
3,I.C.E.I   INSTITUTO CUYANO DE ED. INTEGR,2018.010642,-68.84488,-32.88389
3,SAN FRANCISCO DE ASIS,7173.386861,-68.91383,-32.88799
3,"APRENDER, CIC FLORES SUR",2850.20241,-68.87021,-32.87513
3,SAN BUENAVENTURA,2233.972811,-68.8421,-32.88603
3,SAN BUENAVENTURA,2259.616004,-68.84201,-32.88626
3,SOLES (SOLCITO),6289.61155,-68.90397,-32.88741
3,INFANCIA,6503.139407,-68.90542,-32.88945
3,ATRAPASUE�??OS,6846.10161,-68.91088,-32.88619
3,PUESTO LIMA,3883.197927,-68.87474,-32.88717
3,LEONOR LEMOS,1517.85566,-68.84179,-32.86589
3,TOMBA,2268.208457,-68.85385,-32.88363
3,Junta de Disciplina,4090.854035,-68.87571,-32.88915
3,ALBERTO THORMANN,441.4696102,-68.84179,-32.86589
3,PROFESORA SILVIA CATALLINI,3870.699767,-68.87468,-32.88705
3,S/NOMBRE,2419.938778,-68.86352,-32.87771
3,COMPLEJO PENITENC.II SAN FELIPE,2436.915878,-68.86379,-32.87765
3,COMPL.PENITENCIARIO SAN FELIPE,2449.045642,-68.8637,-32.87796
3,S/NOMBRE,3903.569362,-68.87834,-32.88285
3,S/NOMBRE,2165.813395,-68.85486,-32.882
3,COMPLEJO PENITENCIARIO BOULOGNE SUR MER,2122.031309,-68.85993,-32.87737
3,Padre Jorge Contreras,3040.296458,-68.84179,-32.86589
3,ROBERTO ARLT,3778.538882,-68.85037,-32.89918
3,LEONARDO FAVIO,3869.900024,-68.87459,-32.88714
3,GABRIEL GARCÍA MÁRQUEZ,2530.060753,-68.84725,-32.88823
3,PATRICIAS MENDOCINAS,2443.003138,-68.84337,-32.88787
3,CIUDAD DE MENDOZA,2258.629277,-68.84479,-32.88609
3,"""SANTIAGO JOS�?? ILLA""",2438.323512,-68.86362,-32.87789
3,CARLOS DANILO BERDASCO,7109.897576,-68.91303,-32.88817
3,"SIN NOMBRE
",1647.258602,-68.84179,-32.86589
3,"""PROFESORA CATALINA LUISA SCALISE""",1421.482208,-68.85239,-32.87506
3,Cóndor de los Andes,4156.751902,-68.85994,-32.9001
3,PROFESOR OCTAVIO CORRADINI,2542.617414,-68.84179,-32.86589
3,"""MAESTRA OFELIA RAQUEL CHAUQUE""",7125.679129,-68.91318,-32.88824
3,TUPUNGATO,2450.809583,-68.86378,-32.87789
3,GRANADEROS DE LOS ANDES,3425.600683,-68.84406,-32.89671
3,"SIN NOMBRE
",3657.491644,-68.84179,-32.86589
3,ARRUMACOS,872.2007566,-68.84179,-32.86589
3,AGNES GONXHA,4087.69917,-68.85519,-32.90097
3,CARICIAS DE MIEL CDIYF N° 2,1350.999006,-68.84179,-32.86589
3,LA NUEVA CASITA,2918.844033,-68.84911,-32.89147
3,SIN NOMBRE,2351.721908,-68.85411,-32.88437
3,PRIMERA FUNDACION DE MENDOZA,1913.529051,-68.84179,-32.86589
3,S/NOMBRE,4110.192024,-68.8768,-32.88827
3,SIN NOMBRE,2367.591979,-68.85429,-32.88445
3,APANDO,977.3474885,-68.84179,-32.86589
3,COLEGIO ANDINO,4120.521668,-68.84179,-32.86589
3,F. CHOPIN,529.2749615,-68.84742,-32.86639
3,INSTITUTO CERVANTES (CENS),2126.811525,-68.84179,-32.86589
3,Profesor Fabián Roberto Testa,2770.677336,-68.86968,-32.87428
3,Profesor Fabián Roberto Testa,2939.466094,-68.87153,-32.87442
3,SAN GABRIEL,3601.6796,-68.84179,-32.86589
3,COLONIA Pfsor Luis Enrique Lucca,10502.12328,-68.94778,-32.89702
3,JUAN ESTEBAN PEDERNERA,3440.094992,-68.84396,-32.89685
3,COMBATE DE SAN LORENZO,1933.89168,-68.84179,-32.86589
3,PUESTO LIMA,7078.165254,-68.91269,-32.88811
3,JUAN ESTEBAN PEDERNERA,3046.883224,-68.84946,-32.89259
3,DPTO. DE APLIC. CARMEN VERA ARENAS,3456.905851,-68.85244,-32.89573
3,P.JOSE M.LLORENS,2412.018319,-68.86721,-32.86949
3,COMBATE DE SAN LORENZO,1997.229755,-68.84179,-32.86589
3,JARDIN NUCLEADO,1945.602633,-68.86258,-32.86575
3,INMACULADO CORAZON DE MARIA,6793.833914,-68.90918,-32.88867
3,S.T.R.O.B.E.R.I.,3104.819064,-68.84179,-32.86589
3,DR.MAX NORDAU,1942.803906,-68.84179,-32.86589
3,INSTITUTO NADINO,2157.978052,-68.85526,-32.88168
3,ESCUELA N�?? 4-174,6239.196806,-68.90279,-32.8886
3,Instituto de Educacion Superior,3410.909176,-68.8531,-32.89512
3,LUMEN DE SAN JOSE DE CALASANZ,1020.712578,-68.84179,-32.86589
3,"""Prof. Carlos Fuentealba""",1811.615739,-68.84179,-32.86589
3,HOSPITAL CENTRAL,3038.710756,-68.84179,-32.86589
3,ESCUELA REGIONAL CUYO DE CINE Y VIDEO,3426.652103,-68.84179,-32.86589
3,CABO ERNESTO URBINA,2262.841712,-68.86467,-32.87248
3,JUAN AGUSTIN MAZA,2852.207801,-68.84179,-32.86589
3,SIN NOMBRE,6840.368767,-68.90665,-32.89433
3,BLOSSOM,2906.219241,-68.8466,-32.89177
3,CRECER,1239.395893,-68.84179,-32.86589
3,INSTITUTO TECNOLOGICO DE MENDOZA,3222.498875,-68.84344,-32.89491
