ID,x_wgs,y_wgs
510,-68.85097,-32.90093
511,-68.85152,-32.90126
512,-68.85102,-32.90129
513,-68.85056,-32.90133
514,-68.85114,-32.9024
515,-68.84641,-32.90053
516,-68.84714,-32.90058
517,-68.84647,-32.90163
518,-68.84649,-32.90197
519,-68.84722,-32.9024
520,-68.85016,-32.9
521,-68.85014,-32.90033
522,-68.85012,-32.90065
523,-68.84781,-32.90072
524,-68.8501,-32.90098
525,-68.84855,-32.901
526,-68.85008,-32.90135
527,-68.84931,-32.90142
528,-68.84923,-32.90142
529,-68.8486,-32.9019
530,-68.84788,-32.90221
531,-68.8502,-32.90245
532,-68.85029,-32.90321
533,-68.84938,-32.9033
534,-68.84869,-32.90338
535,-68.84851,-32.9034
536,-68.85156,-32.89954
537,-68.85155,-32.89935
538,-68.85155,-32.89943
539,-68.85309,-32.90233
540,-68.85123,-32.89971
541,-68.85165,-32.90061
542,-68.85171,-32.90115
543,-68.85176,-32.90168
544,-68.85182,-32.90221
545,-68.85184,-32.90237
546,-68.85179,-32.90237
547,-68.8517,-32.90238
548,-68.85162,-32.90238
549,-68.85184,-32.90239
550,-68.85267,-32.90061
551,-68.85275,-32.90111
552,-68.85281,-32.90167
553,-68.85283,-32.90221
554,-68.85285,-32.90236
555,-68.85283,-32.90237
556,-68.85285,-32.9025
557,-68.85283,-32.9025
558,-68.85186,-32.90275
559,-68.85186,-32.9027
560,-68.85187,-32.90279
561,-68.85184,-32.9027
562,-68.85178,-32.90307
563,-68.85189,-32.90305
564,-68.85189,-32.90306
565,-68.85185,-32.90258
566,-68.85285,-32.90258
567,-68.85283,-32.90258
568,-68.85191,-32.90304
569,-68.85285,-32.9027
570,-68.85418,-32.9005
571,-68.85421,-32.90075
572,-68.85429,-32.90167
573,-68.85432,-32.90189
574,-68.85432,-32.90219
575,-68.85307,-32.90074
576,-68.85321,-32.90191
577,-68.85326,-32.9023
578,-68.85578,-32.90047
579,-68.85588,-32.90164
580,-68.85588,-32.90203
581,-68.84486,-32.89626
582,-68.84359,-32.89632
583,-68.84405,-32.89952
584,-68.84406,-32.89952
585,-68.84577,-32.89954
586,-68.84454,-32.89962
587,-68.84441,-32.89964
588,-68.84445,-32.89972
589,-68.84638,-32.89976
590,-68.84462,-32.90035
591,-68.8451,-32.89708
592,-68.8452,-32.89818
593,-68.8449,-32.89636
594,-68.84628,-32.89634
595,-68.8436,-32.89644
596,-68.84367,-32.89713
597,-68.84416,-32.89824
598,-68.84414,-32.89824
599,-68.84434,-32.89916
600,-68.84409,-32.8992
601,-68.84407,-32.8992
602,-68.84457,-32.89921
603,-68.84014,-32.86785
604,-68.84142,-32.86777
605,-68.84033,-32.86858
606,-68.84162,-32.86848
607,-68.83434,-32.86579
608,-68.8357,-32.86595
609,-68.83973,-32.87068
610,-68.83974,-32.87069
611,-68.8409,-32.87066
612,-68.84067,-32.86985
613,-68.8422,-32.87061
614,-68.84197,-32.86976
615,-68.83491,-32.868
616,-68.83353,-32.86824
617,-68.83462,-32.86687
618,-68.83593,-32.86693
619,-68.83449,-32.86638
620,-68.84397,-32.87163
621,-68.84543,-32.8724
622,-68.84355,-32.87275
623,-68.84119,-32.87179
624,-68.84006,-32.87333
625,-68.8399,-32.87275
626,-68.84417,-32.87297
627,-68.83974,-32.87207
628,-68.84419,-32.8731
629,-68.84297,-32.86246
630,-68.84394,-32.86251
631,-68.84175,-32.86242
632,-68.84162,-32.86242
633,-68.84354,-32.87287
634,-68.84383,-32.87327
635,-68.84149,-32.87288
636,-68.84411,-32.87267
637,-68.85664,-32.87184
638,-68.85601,-32.87196
639,-68.85653,-32.87113
640,-68.85721,-32.87118
641,-68.85586,-32.87124
642,-68.84217,-32.86242
643,-68.85733,-32.87171
644,-68.85671,-32.87183
645,-68.85513,-32.87213
646,-68.85411,-32.87156
647,-68.85496,-32.87141
648,-68.85787,-32.86359
649,-68.85846,-32.86414
650,-68.85847,-32.86471
651,-68.85833,-32.86683
652,-68.85838,-32.86632
653,-68.85696,-32.86675
654,-68.85621,-32.86912
655,-68.85688,-32.86915
656,-68.85851,-32.86582
657,-68.85702,-32.86625
658,-68.85706,-32.86576
659,-68.85849,-32.86528
660,-68.84566,-32.87234
661,-68.84738,-32.87356
662,-68.84739,-32.87355
663,-68.84585,-32.87305
664,-68.84865,-32.87332
665,-68.85758,-32.86919
666,-68.85045,-32.87147
667,-68.84605,-32.8738
668,-68.84592,-32.87382
669,-68.84867,-32.87332
670,-68.84973,-32.87235
671,-68.84762,-32.86621
672,-68.84841,-32.86626
673,-68.84896,-32.86629
674,-68.8495,-32.86632
675,-68.84683,-32.86617
676,-68.84703,-32.86617
677,-68.84955,-32.86581
678,-68.84636,-32.86615
679,-68.84875,-32.86525
680,-68.84959,-32.86533
681,-68.85359,-32.86333
682,-68.8542,-32.86336
683,-68.85512,-32.86342
684,-68.85596,-32.86346
685,-68.85029,-32.86637
686,-68.85106,-32.86641
687,-68.85101,-32.86641
688,-68.84868,-32.86348
689,-68.84553,-32.86337
690,-68.84701,-32.86388
691,-68.84701,-32.86342
692,-68.8466,-32.8644
693,-68.84704,-32.86443
694,-68.84715,-32.86269
695,-68.84755,-32.86344
696,-68.84809,-32.86345
697,-68.84579,-32.86338
698,-68.84638,-32.8634
699,-68.84911,-32.86458
700,-68.84965,-32.86463
701,-68.85044,-32.86469
702,-68.84837,-32.86453
703,-68.84861,-32.86454
704,-68.84889,-32.86457
705,-68.84761,-32.86446
706,-68.84803,-32.8645
707,-68.85652,-32.86404
708,-68.85657,-32.86461
709,-68.85591,-32.86408
710,-68.85121,-32.86476
711,-68.85646,-32.8635
712,-68.85295,-32.87772
713,-68.85445,-32.87745
714,-68.85418,-32.87639
715,-68.85267,-32.87668
716,-68.85343,-32.87653
717,-68.8539,-32.87536
718,-68.85316,-32.87551
719,-68.85532,-32.87291
720,-68.85587,-32.87499
721,-68.85489,-32.87517
722,-68.85465,-32.87415
723,-68.8556,-32.87398
724,-68.85545,-32.87344
725,-68.85565,-32.88195
726,-68.85411,-32.88223
727,-68.8524,-32.88256
728,-68.85643,-32.87707
729,-68.85521,-32.88026
730,-68.85362,-32.88028
731,-68.85614,-32.87602
732,-68.85519,-32.8762
733,-68.85383,-32.88112
734,-68.85212,-32.88146
735,-68.85683,-32.87263
736,-68.85655,-32.87381
737,-68.85536,-32.88084
738,-68.85234,-32.88257
739,-68.85669,-32.8743
740,-68.8562,-32.87275
741,-68.8563,-32.8733
742,-68.85609,-32.8739
743,-68.85638,-32.87384
744,-68.85625,-32.87439
745,-68.8588,-32.88474
746,-68.85785,-32.87681
747,-68.86077,-32.88436
748,-68.85707,-32.88735
749,-68.85899,-32.887
750,-68.85891,-32.88585
751,-68.86121,-32.88657
752,-68.86074,-32.88423
753,-68.86099,-32.88544
754,-68.86122,-32.88657
755,-68.8942,-32.89919
756,-68.8969,-32.89739
757,-68.89436,-32.89933
758,-68.90004,-32.89424
759,-68.89817,-32.88852
760,-68.89848,-32.8872
761,-68.89374,-32.89889
762,-68.89412,-32.8991
763,-68.89404,-32.89817
764,-68.89413,-32.89911
765,-68.89417,-32.89914
766,-68.89882,-32.88863
767,-68.89856,-32.88982
768,-68.89793,-32.88965
769,-68.90022,-32.88771
770,-68.89908,-32.88736
771,-68.89965,-32.88753
772,-68.89405,-32.89816
773,-68.89643,-32.89754
774,-68.89999,-32.88881
775,-68.8994,-32.88872
776,-68.89974,-32.89005
777,-68.89972,-32.89307
778,-68.87767,-32.89067
779,-68.87569,-32.88645
780,-68.89056,-32.88867
781,-68.89442,-32.89059
782,-68.88466,-32.89062
783,-68.88421,-32.89092
784,-68.88543,-32.89093
785,-68.88506,-32.88961
786,-68.89607,-32.89038
787,-68.89489,-32.88889
788,-68.89606,-32.89039
789,-68.89595,-32.89046
790,-68.89533,-32.89035
791,-68.88952,-32.88444
792,-68.89102,-32.88803
793,-68.89056,-32.88869
794,-68.88468,-32.88857
795,-68.89212,-32.88948
796,-68.89347,-32.89861
797,-68.88636,-32.8833
798,-68.87413,-32.8842
799,-68.87327,-32.88455
800,-68.88516,-32.89161
801,-68.88509,-32.89172
802,-68.8881,-32.89146
803,-68.88799,-32.89173
804,-68.87665,-32.89174
805,-68.87759,-32.89118
806,-68.89203,-32.89142
807,-68.89409,-32.89177
808,-68.88421,-32.89155
809,-68.88353,-32.89143
810,-68.88419,-32.89093
811,-68.88537,-32.89114
812,-68.89066,-32.89147
813,-68.88812,-32.89138
814,-68.89036,-32.89204
815,-68.89191,-32.89191
816,-68.88452,-32.89179
817,-68.88473,-32.89231
818,-68.89396,-32.89249
819,-68.8941,-32.8918
820,-68.89394,-32.89253
821,-68.88461,-32.89259
822,-68.89236,-32.89179
823,-68.87747,-32.89191
824,-68.87668,-32.892
825,-68.8845,-32.89178
826,-68.89084,-32.89181
827,-68.87502,-32.89201
828,-68.89201,-32.89169
829,-68.89316,-32.89885
830,-68.88693,-32.89831
831,-68.87848,-32.89872
832,-68.87931,-32.89925
833,-68.88288,-32.89951
834,-68.88674,-32.89839
835,-68.87688,-32.89977
836,-68.8768,-32.8995
837,-68.87434,-32.89287
838,-68.87677,-32.89277
839,-68.88429,-32.89309
840,-68.88428,-32.8931
841,-68.88427,-32.89311
842,-68.89599,-32.89263
843,-68.87679,-32.89277
844,-68.87732,-32.89274
845,-68.893,-32.8928
846,-68.89273,-32.89276
847,-68.90044,-32.88752
848,-68.90621,-32.88676
849,-68.88193,-32.87591
850,-68.88187,-32.87595
851,-68.87696,-32.9
852,-68.90777,-32.88527
853,-68.88199,-32.87917
854,-68.88277,-32.88193
855,-68.88564,-32.88249
856,-68.88121,-32.88235
857,-68.88159,-32.88219
858,-68.88374,-32.88434
859,-68.88471,-32.88515
860,-68.88628,-32.88343
861,-68.88329,-32.88257
862,-68.91014,-32.89197
863,-68.91033,-32.89138
864,-68.91044,-32.89086
865,-68.91521,-32.89244
866,-68.90942,-32.89054
867,-68.90936,-32.89052
868,-68.9064,-32.8896
869,-68.91485,-32.89232
870,-68.91452,-32.89221
871,-68.91403,-32.89204
872,-68.91283,-32.89164
873,-68.91227,-32.89146
874,-68.90594,-32.88667
875,-68.89926,-32.88685
876,-68.89985,-32.88561
877,-68.90094,-32.88598
878,-68.9038,-32.88531
879,-68.90486,-32.88571
880,-68.90586,-32.88704
881,-68.90439,-32.89034
882,-68.90629,-32.89096
883,-68.90485,-32.89112
884,-68.90496,-32.8913
885,-68.90042,-32.89319
886,-68.90599,-32.89281
887,-68.90022,-32.89423
888,-68.90059,-32.8924
889,-68.91331,-32.89291
890,-68.90628,-32.89026
891,-68.90409,-32.88995
892,-68.90453,-32.89061
893,-68.91321,-32.89242
894,-68.91397,-32.89334
895,-68.91336,-32.89334
896,-68.91395,-32.89201
897,-68.91393,-32.89252
898,-68.90958,-32.89113
899,-68.91381,-32.89472
900,-68.9135,-32.89472
901,-68.86248,-32.89558
902,-68.86181,-32.89562
903,-68.86073,-32.89569
904,-68.89994,-32.89227
905,-68.90038,-32.89014
906,-68.90816,-32.88907
907,-68.90584,-32.88805
908,-68.86257,-32.89685
909,-68.862,-32.89686
910,-68.86085,-32.89688
911,-68.90229,-32.89143
912,-68.90216,-32.89042
913,-68.9023,-32.89101
914,-68.90154,-32.89142
915,-68.90123,-32.88957
916,-68.90109,-32.89022
917,-68.90177,-32.89036
918,-68.90222,-32.89013
919,-68.86323,-32.89684
920,-68.86143,-32.88767
921,-68.86374,-32.89928
922,-68.86347,-32.89802
923,-68.86361,-32.89868
924,-68.86281,-32.89803
925,-68.85735,-32.88844
926,-68.85898,-32.88813
927,-68.86165,-32.88877
928,-68.9149,-32.88608
929,-68.91339,-32.88567
930,-68.91169,-32.88539
931,-68.91255,-32.88555
932,-68.91387,-32.88577
933,-68.91479,-32.88645
934,-68.91319,-32.88615
935,-68.91245,-32.88594
936,-68.9163,-32.88673
937,-68.91149,-32.88586
938,-68.9137,-32.88626
939,-68.91359,-32.88623
940,-68.91355,-32.88623
941,-68.91142,-32.88586
942,-68.91131,-32.88632
943,-68.91228,-32.88828
944,-68.91587,-32.88916
945,-68.91489,-32.89047
946,-68.91196,-32.88983
947,-68.91318,-32.89007
948,-68.91254,-32.88995
949,-68.9143,-32.89034
950,-68.91284,-32.88842
951,-68.91404,-32.88871
952,-68.86332,-32.90038
953,-68.86327,-32.90038
954,-68.91541,-32.88905
955,-68.86287,-32.89929
956,-68.86049,-32.89351
957,-68.86041,-32.89351
958,-68.9123,-32.88792
959,-68.91253,-32.88679
960,-68.91125,-32.88668
961,-68.9112,-32.88679
962,-68.91176,-32.88744
963,-68.91167,-32.88812
964,-68.91503,-32.88865
965,-68.91565,-32.88767
966,-68.91554,-32.88821
967,-68.91575,-32.88712
968,-68.91513,-32.88814
969,-68.91397,-32.88793
970,-68.91388,-32.88842
971,-68.91465,-32.88694
972,-68.91323,-32.88741
973,-68.9113,-32.88802
974,-68.90825,-32.88908
975,-68.91015,-32.88945
976,-68.9104,-32.88818
977,-68.90974,-32.88803
978,-68.90936,-32.88794
979,-68.91102,-32.88833
980,-68.90858,-32.88779
981,-68.90881,-32.88781
982,-68.90959,-32.88936
983,-68.90883,-32.88918
984,-68.90829,-32.88909
985,-68.86162,-32.89441
986,-68.86061,-32.89459
987,-68.91071,-32.88961
988,-68.86033,-32.89464
989,-68.83824,-32.892
990,-68.83718,-32.89292
991,-68.83817,-32.89309
992,-68.86473,-32.90163
993,-68.83776,-32.89551
994,-68.86377,-32.90217
995,-68.8641,-32.90153
996,-68.86555,-32.90128
