fid,NOMBRE,heatmap_co
580,RUBILAR FRANCISCO,11.40845
581,RUBILAR FRANCISCO,11.20634
582,FCGSM,11.35633
583,FCGSM,11.31041
584,FCGSM,11.31041
585,FCGSM,11.35633
586,ITALIA,11.40845
587,ITALIA,11.40845
588,ITALIA,11.35633
589,ITALIA,11.35633
590,ITALIA,3.99181
591,ITALIA,3.01548
592,ITALIA,3.01548
593,ITALIA,3.01548
594,ITALIA,3.99181
595,LEMOS ABRAHAM DR,3.01548
596,LEMOS ABRAHAM DR,3.01548
597,LEMOS ABRAHAM DR,3.01548
598,LEMOS ABRAHAM DR,2.26443
599,LEMOS ABRAHAM DR,2.26443
600,LAS BOVEDAS,
601,LAS BOVEDAS,0.47126
602,LAS BOVEDAS,0.47126
603,LAS BOVEDAS,
604,CRISTO REDENTOR SUR AV,
605,CRISTO REDENTOR SUR AV,
606,CRISTO REDENTOR SUR AV,
607,ALPATACAL,0.69366
608,ALPATACAL,0.69366
609,ALPATACAL,0.86779
610,ALPATACAL,0.86779
611,ITALIA,3.01548
612,ITALIA,3.01548
613,ITALIA,3.01548
614,ITALIA,2.48535
615,ITALIA,2.48535
616,ITALIA,2.48535
617,RODRIGUEZ MARTIN CNEL,2.48535
618,RODRIGUEZ MARTIN CNEL,2.48535
619,RODRIGUEZ MARTIN CNEL,1.82803
620,RODRIGUEZ MARTIN CNEL,2.48535
621,RODRIGUEZ MARTIN CNEL,1.82803
622,CERRO CAMPANARIO,
623,CERRO CAMPANARIO,
624,CERRO CAMPANARIO,
625,GODOY JUAN GUALBERTO,1.18798
626,GODOY JUAN GUALBERTO,0.86779
627,GODOY JUAN GUALBERTO,1.18798
628,GODOY JUAN GUALBERTO,0.86779
629,PASO DE LOS ANDES,1.18798
630,PASO DE LOS ANDES,0.94647
631,PASO DE LOS ANDES,0.94647
632,PASO DE LOS ANDES,1.18798
633,PASO DE LOS ANDES,0.94647
634,ITALIA,2.48535
635,ITALIA,2.48535
636,ITALIA,2.48535
637,ITALIA,3.03418
638,ITALIA,3.03418
639,MUÃƒâ€˜IZ JAVIER E DR PJE,2.37618
640,MUÃƒâ€˜IZ JAVIER E DR PJE,3.03418
