punto_nombre,punto_numero,punto_tipo,link,poblacion_total,hogares,desocupados,0-14,65_mas,inicial,primario,egb,secundario,polimodal,superior,universitario,post_universitario,lee_y _esc,NoLee_ni_e,hacinamiento,sin_red_agua,sin_cloaca,densidad_comercios,x,y
PERU,6914,Interseccion,500070114,411,163,20,68,40,15,29,29,77,24,45,165,10,380,18,0,0,0,18,-68.84510513,-32.87681251
VIDELA RICARDO GDOR,6918,Interseccion,500281001,990,314,31,218,119,42,268,52,332,43,64,112,3,889,50,2,0,6,17,-68.82651211,-32.87679712
VENDIMIADORES,6926,Interseccion,500070114,411,163,20,68,40,15,29,29,77,24,45,165,10,380,18,0,0,0,18,-68.84508373,-32.87683052
INGENIEROS JOSE,6931,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,3,-68.87300523,-32.8769251
OLASCOAGA LAURENTINO CNEL,6932,Interseccion,500070606,1255,422,37,280,178,41,295,63,263,37,104,315,34,1121,67,10,0,33,19,-68.8509285,-32.87699992
PASO DE LOS ANDES,6944,Interseccion,500070603,691,239,20,108,152,18,97,45,167,29,75,215,12,648,21,1,0,2,34,-68.85643151,-32.87706948
INGENIEROS JOSE,6956,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,3,-68.8730691,-32.87709649
INGENIEROS JOSE,6958,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,3,-68.87301449,-32.87695061
LEBENHSON MOISES DR,6962,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,4,-68.87235314,-32.87711379
AV ESPAÃ‘A,6967,Interseccion,500070106,664,268,21,104,120,16,103,12,154,30,65,233,8,610,18,2,2,0,10,-68.83851365,-32.87700921
AV ESPAÃ‘A,6968,Interseccion,500070106,664,268,21,104,120,16,103,12,154,30,65,233,8,610,18,2,2,0,10,-68.83856482,-32.87719197
BENEGAS TIBURCIO,6969,Interseccion,500070606,1255,422,37,280,178,41,295,63,263,37,104,315,34,1121,67,10,0,33,12,-68.84965649,-32.87724186
POSTA DEL RETAMO,6987,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,4,-68.8716476,-32.87731144
INGENIEROS JOSE,6989,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,3,-68.87315424,-32.87734003
VENDIMIADORES,6993,Interseccion,500070114,411,163,20,68,40,15,29,29,77,24,45,165,10,380,18,0,0,0,15,-68.84401418,-32.87738824
GRANADEROS,6997,Interseccion,500070605,504,189,10,81,86,13,54,27,118,14,66,180,14,474,16,1,0,1,33,-68.85445405,-32.8774459
DE SAN MARTIN JOSE GRAL AV,7010,Interseccion,500070214,750,270,14,132,86,19,150,43,181,27,84,197,7,696,25,1,0,1,56,-68.83595705,-32.87744105
QUINQUELA MARTIN BENITO,7012,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,4,-68.8724915,-32.87750166
CABILDO DE MENDOZA,7017,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,3,-68.87098816,-32.87754052
