ID;radio_censal;punto_tipo;poblacion;hogares;desocupado;0-14;65_mas;inicial;primario;egb;secundario;polimodal;superior;universitario;post_universitario;lee_y _esc;NoLee_ni_e;hacinamiento;sin_agua;sin_cloaca;densidad_comercial;microzonificacion;macrozonificacion;x;y;index
R36;500070808;Rulero;401;147;2;54;84;10;44;13;81;11;21;194;18;383;13;0;0;0;27;Residencial urbano;Urbano;-68,84567;-32,90273;66
R37;500071201;Rulero;340;152;4;25;71;7;31;4;74;13;23;160;17;322;8;1;0;0;71;Comercial;Altamente urbano;-68,85032;-32,89217;67
R38;500070910;Rulero;656;263;20;86;111;15;66;19;112;26;74;305;16;620;19;0;0;0;21;Residencial urbano;Urbano;-68,85428;-32,90217;68
R39;500070506;Rulero;770;299;10;88;154;12;73;24;140;19;62;380;38;740;14;0;0;2;26;Residencial urbano;Urbano;-68,85506;-32,88548;69
R40;500070809;Rulero;528;188;11;87;102;16;40;24;82;18;47;250;23;487;16;0;0;0;10;Residencial urbano;Urbano;-68,84837;-32,90143;70
R41;500070311;Rulero;699;176;14;60;103;10;194;21;152;12;54;211;15;656;30;0;0;0;36;Comercial;Altamente urbano;-68,83231;-32,89305;71
R43;500070902;Rulero;564;190;12;48;113;5;56;16;101;22;71;261;18;538;13;0;0;0;19;Residencial urbano;Urbano;-68,85914577;-32,89678611;72
R42;500070303;Rulero;743;302;23;121;96;21;115;47;203;26;94;187;16;691;32;2;0;1;5;Comercial;Altamente urbano;-68,82913;-32,88441;73
I1;500490412;Intersercción;845;253;36;186;122;27;190;56;279;42;57;118;8;753;42;2;0;3;8;Comercial;Altamente urbano;-68,83268912;-32,86220265;74
I2;500490915;Intersercción;958;287;37;207;143;29;174;82;276;73;69;182;2;868;45;3;0;7;8;N/A;N/A;-68,83265173;-32,86219809;75
I3;500490412;Intersercción;845;253;36;186;122;27;190;56;279;42;57;118;8;753;42;2;0;3;7;Residencial urbano;Urbano;-68,83349566;-32,86225332;76
I4;500490412;Intersercción;845;253;36;186;122;27;190;56;279;42;57;118;8;753;42;2;0;3;4;Residencial urbano;Urbano;-68,83422206;-32,86230839;77
I5;500490412;Intersercción;845;253;36;186;122;27;190;56;279;42;57;118;8;753;42;2;0;3;3;Residencial urbano;Urbano;-68,83485233;-32,86235431;78
I6;500490412;Intersercción;845;253;36;186;122;27;190;56;279;42;57;118;8;753;42;2;0;3;2;Residencial urbano;Urbano;-68,83616636;-32,86240112;79
I7;500490414;Intersercción;1059;308;29;275;138;41;324;78;333;67;62;78;2;950;63;9;0;23;6;Comercial;Altamente urbano;-68,8421707;-32,86241785;80
I8;500490414;Intersercción;1059;308;29;275;138;41;324;78;333;67;62;78;2;950;63;9;0;23;6;Residencial urbano;Urbano;-68,84175403;-32,86241733;81
I9;500490412;Intersercción;845;253;36;186;122;27;190;56;279;42;57;118;8;753;42;2;0;3;3;Residencial urbano;Urbano;-68,8379826;-32,86242152;82
I10;500490413;Intersercción;493;146;31;130;88;22;144;26;171;12;24;44;3;424;45;5;0;2;3;Residencial urbano;Urbano;-68,83812149;-32,8624217;83
I11;500490414;Intersercción;1059;308;29;275;138;41;324;78;333;67;62;78;2;950;63;9;0;23;6;Residencial urbano;Urbano;-68,8416152;-32,86242093;84
I12;500490413;Intersercción;493;146;31;130;88;22;144;26;171;12;24;44;3;424;45;5;0;2;6;Residencial urbano;Urbano;-68,8410916;-32,86243452;85
I13;500490413;Intersercción;493;146;31;130;88;22;144;26;171;12;24;44;3;424;45;5;0;2;5;Residencial urbano;Urbano;-68,8402796;-32,8624425;86
I14;500490414;Intersercción;1059;308;29;275;138;41;324;78;333;67;62;78;2;950;63;9;0;23;5;Residencial urbano;Urbano;-68,84297192;-32,86246395;87
I15;500490414;Intersercción;1059;308;29;275;138;41;324;78;333;67;62;78;2;950;63;9;0;23;4;Residencial urbano;Urbano;-68,84394408;-32,86251025;88
I16;500491216;Intersercción;1043;331;33;171;229;27;281;38;311;47;89;172;7;954;42;3;0;2;4;Residencial urbano;Urbano;-68,84469192;-32,86252921;89
I17;500491216;Intersercción;1043;331;33;171;229;27;281;38;311;47;89;172;7;954;42;3;0;2;3;Residencial urbano;Urbano;-68,84525813;-32,86254795;90
I18;500491216;Intersercción;1043;331;33;171;229;27;281;38;311;47;89;172;7;954;42;3;0;2;2;Residencial urbano;Urbano;-68,84582437;-32,86255766;91
I19;500491216;Intersercción;1043;331;33;171;229;27;281;38;311;47;89;172;7;954;42;3;0;2;2;Residencial urbano;Urbano;-68,846444;-32,86257646;92
I20;500070701;Intersercción;643;212;25;104;87;17;118;29;171;42;66;145;19;595;20;3;0;8;6;Residencial urbano;Urbano;-68,84106996;-32,86258778;93
