ID,radio_censal,punto_tipo,poblacion,hogares,desocupado,0-14,65_mas,inicial,primario,egb,secundario,polimodal,superior,universitario,post_universitario,lee_y _esc,NoLee_ni_e,hacinamiento,sin_agua,sin_cloaca,densidad_comercial,microzonificacion,macrozonificacion,x,y,index,clasificacion
I2083,500070910.0,Intersercción,656.0,263.0,20.0,86.0,111.0,15.0,66.0,19.0,112.0,26.0,74.0,305.0,16.0,620.0,19.0,0.0,0.0,0.0,21.0,Residencial urbano,Urbano,"-68,85431739","-32,90218807",2156,0.0
I2084,500070810.0,Intersercción,631.0,264.0,14.0,96.0,119.0,13.0,69.0,25.0,115.0,27.0,54.0,278.0,22.0,596.0,14.0,0.0,0.0,2.0,18.0,Comercial,Altamente urbano,"-68,85283162","-32,90221338",2157,0.0
I2085,500070810.0,Intersercción,631.0,264.0,14.0,96.0,119.0,13.0,69.0,25.0,115.0,27.0,54.0,278.0,22.0,596.0,14.0,0.0,0.0,2.0,13.0,Residencial urbano,Urbano,"-68,85181619","-32,90221218",2158,0.0
I2086,500070809.0,Intersercción,528.0,188.0,11.0,87.0,102.0,16.0,40.0,24.0,82.0,18.0,47.0,250.0,23.0,487.0,16.0,0.0,0.0,0.0,12.0,Residencial urbano,Urbano,"-68,84788275","-32,90220746",2159,0.0
I2087,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,56.0,Comercial,Altamente urbano,"-68,84246345","-32,9022819",2160,0.0
I2089,500070910.0,Intersercción,656.0,263.0,20.0,86.0,111.0,15.0,66.0,19.0,112.0,26.0,74.0,305.0,16.0,620.0,19.0,0.0,0.0,0.0,18.0,Comercial,Altamente urbano,"-68,85325902","-32,90230405",2162,0.0
I2090,500070810.0,Intersercción,631.0,264.0,14.0,96.0,119.0,13.0,69.0,25.0,115.0,27.0,54.0,278.0,22.0,596.0,14.0,0.0,0.0,2.0,17.0,Comercial,Altamente urbano,"-68,85308795","-32,9023309",2163,0.0
I2091,500070806.0,Intersercción,571.0,251.0,13.0,67.0,103.0,15.0,78.0,18.0,131.0,9.0,55.0,229.0,16.0,539.0,18.0,0.0,0.0,1.0,23.0,Comercial,Altamente urbano,"-68,83952394","-32,90234128",2164,0.0
I2092,500070810.0,Intersercción,631.0,264.0,14.0,96.0,119.0,13.0,69.0,25.0,115.0,27.0,54.0,278.0,22.0,596.0,14.0,0.0,0.0,2.0,17.0,Comercial,Altamente urbano,"-68,85285275","-32,90236219",2165,0.0
I2093,500070810.0,Intersercción,631.0,264.0,14.0,96.0,119.0,13.0,69.0,25.0,115.0,27.0,54.0,278.0,22.0,596.0,14.0,0.0,0.0,2.0,17.0,Comercial,Altamente urbano,"-68,85283136","-32,90236667",2166,0.0
I2094,500070810.0,Intersercción,631.0,264.0,14.0,96.0,119.0,13.0,69.0,25.0,115.0,27.0,54.0,278.0,22.0,596.0,14.0,0.0,0.0,2.0,13.0,Residencial urbano,Urbano,"-68,85183731","-32,9023655",2167,0.0
I2095,500070810.0,Intersercción,631.0,264.0,14.0,96.0,119.0,13.0,69.0,25.0,115.0,27.0,54.0,278.0,22.0,596.0,14.0,0.0,0.0,2.0,13.0,Residencial urbano,Urbano,"-68,85178921","-32,90236995",2168,0.0
