SeccionNombreCompleto,Zonificacion,Clasificacion,DensidadPoblacion,SeccionNro,SeccionNombre,RacioCensal,Poblacion,Hogares,Desocupados,Edad 0 a 14,Edad mayor 65,InicialCompleto,PrimarioCompleto,EGBCompleto,SecundarioCompleto,PolimodalCompleto,SuperiorCompleto,UniversitarioCompleto,PostgradoCompleto,LeeEscribe,NoLeeEscribe,Hacinamiento,RedAguaNO,CloacaNO,PVNum,PVNom,Direccion,x_wgs,y_wgs,id,fid,Densidad comercial
6ta Seccion Residencial Norte,Residencial urbano,Urbano,72.185,6,Residencial Norte,500071107,770,257,15,143,149,26,168,34,212,33,72,178,7,712,27,2,0,4,,,,-68.84554,-32.86434,"-68,84554-32,86434",551,7.75139
6ta Seccion Residencial Norte,Residencial urbano,Urbano,64.834,6,Residencial Norte,500070603,691,239,20,108,152,18,97,45,167,29,75,215,12,648,21,1,0,2,,,,-68.85545,-32.87344,"-68,85545-32,87344",5986,10.00023
6ta Seccion Residencial Norte,Residencial urbano,Urbano,81.097,6,Residencial Norte,500070610,846,343,18,141,105,30,110,39,173,36,85,292,44,787,26,2,1,7,,,,-68.85411,-32.88223,"-68,85411-32,88223",8246,19.59925
,Residencial urbano,Urbano,72.735,4,Cuarta Oeste,500070705,656,248,32,103,125,13,120,35,189,22,69,170,9,617,19,0,1,3,,,,-68.84331,-32.86441,"-68,84331-32,86441",582,11.35633
8va Seccion Aeroparque,Residencial urbano,Urbano,143.919,8,Aeroparque,500071004,1587,381,43,470,156,84,492,306,295,166,23,33,0,1360,132,30,0,6,,,,-68.87007,-32.86446,"-68,87007-32,86446",600,0
6ta Seccion Residencial Norte,Residencial urbano,Urbano,64.834,6,Residencial Norte,500070603,691,239,20,108,152,18,97,45,167,29,75,215,12,648,21,1,0,2,,,,-68.85614,-32.87602,"-68,85614-32,87602",6688,23.31395
6ta Seccion Residencial Norte,Residencial urbano,Urbano,64.834,6,Residencial Norte,500070603,691,239,20,108,152,18,97,45,167,29,75,215,12,648,21,1,0,2,,,,-68.85519,-32.8762,"-68,85519-32,8762",6727,21.8057
6ta Seccion Residencial Norte,Residencial urbano,Urbano,74.107,6,Residencial Norte,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,,,,-68.85683,-32.87263,"-68,85683-32,87263",2356,5.68984
,,,,,,500491106,723,199,8,174,67,34,164,48,157,27,70,177,9,661,40,3,59,120,,,,-68.89036,-32.86457,"-68,89036-32,86457",643,0
6ta Seccion Residencial Norte,Residencial urbano,Urbano,74.107,6,Residencial Norte,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,,,,-68.85669,-32.8743,"-68,85669-32,8743",6168,6.08481
